,location_code,hs_product_code,export_value,year,diversity,ubiquity,mcp,eci,pci,density,coi,cog,rca
0,Centro,112511,0.0,2004,420,2,0,1.3324160270586243,-0.09591136965614144,0.3325670498084289,-1.6836704675583043,-0.5143355403685455,0.0
1,Centro,112512,490.0,2004,420,2,1,1.3324160270586243,-0.3317838263387327,0.7573099415204685,-1.6836704675583043,-0.0,1.2402639743400112
2,Centro,114111,0.0,2004,420,2,0,1.3324160270586243,-1.7550061177120193,0.2505995203836931,-1.6836704675583043,-1.1298779225686537,0.0
3,Centro,114112,0.0,2004,420,3,0,1.3324160270586243,-1.0617103850901137,0.3197158081705152,-1.6836704675583043,-0.9250165144457837,0.0
4,Centro,114113,0.0,2004,420,2,0,1.3324160270586243,-1.3342136679021686,0.32551020408163256,-1.6836704675583043,-0.9684274880435239,0.0
5,Centro,114119,208.0,2004,420,1,0,1.3324160270586243,-2.9933084159580505,0.15614617940199338,-1.6836704675583043,-1.2907496667866316,0.03339492168631435
6,Centro,211111,1.0,2004,420,1,0,1.3324160270586243,-2.9933084159580505,0.15614617940199338,-1.6836704675583043,-1.2907496667866316,0.05439162191323315
7,Centro,212110,0.0,2004,420,1,0,1.3324160270586243,0.3248810801537122,0.32810615199035004,-1.6836704675583043,-0.16525276785894188,0.0
8,Centro,212210,1.0,2004,420,2,0,1.3324160270586243,-0.0959113696561361,0.3325670498084289,-1.6836704675583043,-0.5143355403685455,0.15297643663096822
9,Centro,212221,0.0,2004,420,2,0,1.3324160270586243,-0.0959113696561361,0.3325670498084289,-1.6836704675583043,-0.5143355403685455,0.0
10,Centro,212222,13.0,2004,420,2,0,1.3324160270586243,-0.0959113696561361,0.3325670498084289,-1.6836704675583043,-0.5143355403685455,0.7575975909343188
11,Centro,212231,1.0,2004,420,2,0,1.3324160270586243,-0.0959113696561361,0.3325670498084289,-1.6836704675583043,-0.5143355403685455,0.16317486573969942
12,Centro,212232,3.0,2004,420,1,0,1.3324160270586243,0.3248810801537122,0.32810615199035004,-1.6836704675583043,-0.16525276785894188,0.38646678727823547
13,Centro,212291,3.0,2004,420,2,1,1.3324160270586243,1.3273109217171475,0.6579939668174958,-1.6836704675583043,-0.0,1.468573791657295
14,Centro,212299,1.0,2004,420,2,0,1.3324160270586243,-1.7550061177120173,0.2505995203836931,-1.6836704675583043,-1.1298779225686537,0.8158743286984972
15,Centro,212311,70.0,2004,420,2,0,1.3324160270586243,-0.0959113696561361,0.3325670498084289,-1.6836704675583043,-0.5143355403685455,0.8786338924445354
16,Centro,212312,252.0,2004,420,1,1,1.3324160270586243,2.329740763280583,1.0000000000000007,-1.6836704675583043,0.0,2.179508807406586
17,Centro,212319,364.0,2004,420,1,1,1.3324160270586243,2.329740763280583,1.0000000000000007,-1.6836704675583043,0.0,1.7677277121800772
18,Centro,212321,326.0,2004,420,2,0,1.3324160270586243,-1.7550061177120173,0.2505995203836931,-1.6836704675583043,-1.1298779225686537,0.7731832301038084
19,Centro,212322,90.0,2004,420,1,1,1.3324160270586243,2.329740763280583,1.0000000000000007,-1.6836704675583043,0.0,1.9155310325964716
20,Centro,212323,3.0,2004,420,2,1,1.3324160270586243,1.3273109217171475,0.6579939668174958,-1.6836704675583043,-0.0,1.8357172395716186
21,Centro,212324,3.0,2004,420,2,0,1.3324160270586243,-1.3342136679021692,0.32551020408163256,-1.6836704675583043,-0.9684274880435239,0.24476229860954915
22,Centro,212325,11.0,2004,420,2,1,1.3324160270586243,1.3273109217171475,0.6579939668174958,-1.6836704675583043,-0.0,1.0769541138820162
23,Centro,212329,21.0,2004,420,1,0,1.3324160270586243,-2.9933084159580505,0.15614617940199338,-1.6836704675583043,-1.2907496667866316,0.18966820187455835
24,Centro,212391,53.0,2004,420,2,0,1.3324160270586243,-1.3342136679021692,0.32551020408163256,-1.6836704675583043,-0.9684274880435239,0.8765136369125747
25,Centro,212392,26.0,2004,420,3,1,1.3324160270586243,0.7126393413227705,0.5490051584377305,-1.6836704675583043,-0.0,1.136396386401478
26,Centro,212393,1.0,2004,420,1,0,1.3324160270586243,0.3248810801537122,0.32810615199035004,-1.6836704675583043,-0.16525276785894188,0.18827869123811475
27,Centro,212394,1.0,2004,420,1,0,1.3324160270586243,-0.5167038194659831,0.2625607779578606,-1.6836704675583043,-0.3835954897919887,0.6119057465238729
28,Centro,212395,1.0,2004,420,2,0,1.3324160270586243,-0.0959113696561361,0.3325670498084289,-1.6836704675583043,-0.5143355403685455,0.30595287326193643
29,Centro,212396,0.0,2004,420,1,0,1.3324160270586243,0.3248810801537122,0.32810615199035004,-1.6836704675583043,-0.16525276785894188,0.0
30,Centro,212397,1.0,2004,420,1,1,1.3324160270586243,2.329740763280583,1.0000000000000007,-1.6836704675583043,0.0,2.4476229860954914
31,Centro,212398,1.0,2004,420,1,0,1.3324160270586243,0.3248810801537122,0.32810615199035004,-1.6836704675583043,-0.16525276785894188,0.30595287326193643
32,Centro,212399,7.0,2004,420,2,0,1.3324160270586243,-0.0959113696561361,0.3325670498084289,-1.6836704675583043,-0.5143355403685455,0.33594825299349884
33,Centro,213111,1.0,2004,420,2,0,1.3324160270586243,-1.3342136679021692,0.32551020408163256,-1.6836704675583043,-0.9684274880435239,0.12238114930477458
34,Centro,213119,4.0,2004,420,2,0,1.3324160270586243,-0.0959113696561361,0.3325670498084289,-1.6836704675583043,-0.5143355403685455,0.10093290664311305
35,Centro,221111,10.0,2004,420,2,0,1.3324160270586243,-1.3342136679021692,0.32551020408163256,-1.6836704675583043,-0.9684274880435239,0.4895245972190983
36,Centro,221121,4.0,2004,420,1,1,1.3324160270586243,2.329740763280583,1.0000000000000007,-1.6836704675583043,0.0,1.3986417063402807
37,Centro,221210,4.0,2004,420,1,0,1.3324160270586243,0.3248810801537122,0.32810615199035004,-1.6836704675583043,-0.16525276785894188,0.6993208531701404
38,Centro,221311,20.0,2004,420,1,1,1.3324160270586243,2.329740763280583,1.0000000000000007,-1.6836704675583043,0.0,1.5791116039325752
39,Centro,221312,612.0,2004,420,1,0,1.3324160270586243,-2.9933084159580505,0.15614617940199338,-1.6836704675583043,-1.2907496667866316,0.6415183158417305
40,Centro,236111,487.0,2004,420,2,0,1.3324160270586243,-0.0959113696561361,0.3325670498084289,-1.6836704675583043,-0.5143355403685455,0.5482945695623295
41,Centro,236112,167.0,2004,420,2,0,1.3324160270586243,-0.0959113696561361,0.3325670498084289,-1.6836704675583043,-0.5143355403685455,0.9440023987943351
42,Centro,236113,26.0,2004,420,2,0,1.3324160270586243,-0.0959113696561361,0.3325670498084289,-1.6836704675583043,-0.5143355403685455,0.9790491944381965
43,Centro,236211,88.0,2004,420,2,0,1.3324160270586243,-0.0959113696561361,0.3325670498084289,-1.6836704675583043,-0.5143355403685455,0.5917330296055034
44,Centro,236212,2.0,2004,420,2,1,1.3324160270586243,1.3273109217171475,0.6579939668174958,-1.6836704675583043,-0.0,1.6317486573969944
45,Centro,236221,688.0,2004,420,3,0,1.3324160270586243,-1.0617103850901077,0.3197158081705152,-1.6836704675583043,-0.9250165144457837,0.5845069817541472
46,Centro,236222,8.0,2004,420,2,0,1.3324160270586243,-0.0959113696561361,0.3325670498084289,-1.6836704675583043,-0.5143355403685455,0.8513471255984318
47,Centro,237111,59.0,2004,420,2,0,1.3324160270586243,-0.0959113696561361,0.3325670498084289,-1.6836704675583043,-0.5143355403685455,0.47039008527568077
48,Centro,237112,16.0,2004,420,2,0,1.3324160270586243,-0.0959113696561361,0.3325670498084289,-1.6836704675583043,-0.5143355403685455,0.3496604265850702
49,Centro,237113,1.0,2004,420,2,0,1.3324160270586243,-1.3342136679021692,0.32551020408163256,-1.6836704675583043,-0.9684274880435239,0.8158743286984972
50,Centro,237121,9.0,2004,420,2,0,1.3324160270586243,-1.3342136679021692,0.32551020408163256,-1.6836704675583043,-0.9684274880435239,0.3146943839265632
51,Centro,237122,12.0,2004,420,2,0,1.3324160270586243,-1.3342136679021692,0.32551020408163256,-1.6836704675583043,-0.9684274880435239,0.5994178741458346
52,Centro,237131,71.0,2004,420,3,0,1.3324160270586243,-1.0617103850901077,0.3197158081705152,-1.6836704675583043,-0.9250165144457837,0.37212255248989273
53,Centro,237132,21.0,2004,420,2,0,1.3324160270586243,-0.0959113696561361,0.3325670498084289,-1.6836704675583043,-0.5143355403685455,0.6268302769268941
54,Centro,237133,3.0,2004,420,2,1,1.3324160270586243,1.3273109217171475,0.6579939668174958,-1.6836704675583043,-0.0,1.468573791657295
55,Centro,237211,1.0,2004,420,2,0,1.3324160270586243,-0.0959113696561361,0.3325670498084289,-1.6836704675583043,-0.5143355403685455,0.1748302132925351
56,Centro,237212,264.0,2004,420,2,0,1.3324160270586243,-0.0959113696561361,0.3325670498084289,-1.6836704675583043,-0.5143355403685455,0.5853011488489218
57,Centro,237213,3.0,2004,420,2,1,1.3324160270586243,1.3273109217171475,0.6579939668174958,-1.6836704675583043,-0.0,1.468573791657295
58,Centro,237311,6.0,2004,420,2,0,1.3324160270586243,-0.0959113696561361,0.3325670498084289,-1.6836704675583043,-0.5143355403685455,0.863866936268997
59,Centro,237312,357.0,2004,420,3,0,1.3324160270586243,-1.0617103850901077,0.3197158081705152,-1.6836704675583043,-0.9250165144457837,0.5912052814858528
60,Centro,237313,0.0,2004,420,2,0,1.3324160270586243,-0.0959113696561361,0.3325670498084289,-1.6836704675583043,-0.5143355403685455,0.0
61,Centro,237991,4.0,2004,420,2,0,1.3324160270586243,-0.0959113696561361,0.3325670498084289,-1.6836704675583043,-0.5143355403685455,0.5439162191323315
62,Centro,237992,12.0,2004,420,2,0,1.3324160270586243,-1.3342136679021692,0.32551020408163256,-1.6836704675583043,-0.9684274880435239,0.5340268333299254
63,Centro,237993,9.0,2004,420,2,0,1.3324160270586243,-0.0959113696561361,0.3325670498084289,-1.6836704675583043,-0.5143355403685455,0.7596071336158422
64,Centro,237994,4.0,2004,420,1,0,1.3324160270586243,0.3248810801537122,0.32810615199035004,-1.6836704675583043,-0.16525276785894188,0.9790491944381966
65,Centro,238110,25.0,2004,420,1,0,1.3324160270586243,0.3248810801537122,0.32810615199035004,-1.6836704675583043,-0.16525276785894188,0.8382270500327025
66,Centro,238121,4.0,2004,420,2,0,1.3324160270586243,-0.0959113696561361,0.3325670498084289,-1.6836704675583043,-0.5143355403685455,0.3626108127548876
67,Centro,238122,17.0,2004,420,2,0,1.3324160270586243,-0.0959113696561361,0.3325670498084289,-1.6836704675583043,-0.5143355403685455,0.4728362586775381
68,Centro,238130,41.0,2004,420,1,0,1.3324160270586243,0.3248810801537122,0.32810615199035004,-1.6836704675583043,-0.16525276785894188,0.9557384993325253
69,Centro,238190,33.0,2004,420,2,0,1.3324160270586243,-0.0959113696561361,0.3325670498084289,-1.6836704675583043,-0.5143355403685455,0.8502269320121181
70,Centro,238210,184.0,2004,420,2,0,1.3324160270586243,-0.0959113696561361,0.3325670498084289,-1.6836704675583043,-0.5143355403685455,0.6792799840747668
71,Centro,238221,441.0,2004,420,2,1,1.3324160270586243,1.3273109217171475,0.6579939668174958,-1.6836704675583043,-0.0,1.623160506568589
72,Centro,238222,110.0,2004,420,2,0,1.3324160270586243,-1.3342136679021692,0.32551020408163256,-1.6836704675583043,-0.9684274880435239,0.4161337379760495
73,Centro,238290,31.0,2004,420,2,0,1.3324160270586243,-0.0959113696561361,0.3325670498084289,-1.6836704675583043,-0.5143355403685455,0.5927836919450018
74,Centro,238311,48.0,2004,420,2,0,1.3324160270586243,-0.0959113696561361,0.3325670498084289,-1.6836704675583043,-0.5143355403685455,0.6830575775150209
75,Centro,238312,24.0,2004,420,2,1,1.3324160270586243,1.3273109217171475,0.6579939668174958,-1.6836704675583043,-0.0,1.0128095114877895
76,Centro,238320,31.0,2004,420,1,0,1.3324160270586243,0.3248810801537122,0.32810615199035004,-1.6836704675583043,-0.16525276785894188,0.5792084928928262
77,Centro,238330,25.0,2004,420,1,1,1.3324160270586243,2.329740763280583,1.0000000000000007,-1.6836704675583043,0.0,1.6102782803259812
78,Centro,238340,11.0,2004,420,2,0,1.3324160270586243,-1.3342136679021692,0.32551020408163256,-1.6836704675583043,-0.9684274880435239,0.6730963211762602
79,Centro,238350,55.0,2004,420,2,1,1.3324160270586243,0.9065184719073001,0.6461864406779658,-1.6836704675583043,-0.0,1.0944655628882278
80,Centro,238390,92.0,2004,420,1,0,1.3324160270586243,0.3248810801537122,0.32810615199035004,-1.6836704675583043,-0.16525276785894188,0.7334896244976716
81,Centro,238910,47.0,2004,420,2,0,1.3324160270586243,-0.0959113696561361,0.3325670498084289,-1.6836704675583043,-0.5143355403685455,0.6355706096491055
82,Centro,238990,37.0,2004,420,2,0,1.3324160270586243,-0.0959113696561361,0.3325670498084289,-1.6836704675583043,-0.5143355403685455,0.6860761400419181
83,Centro,311110,134.0,2004,420,1,0,1.3324160270586243,-0.5167038194659831,0.2625607779578606,-1.6836704675583043,-0.3835954897919887,0.6469062724591634
84,Centro,311211,12.0,2004,420,2,1,1.3324160270586243,-0.33178382633873404,0.7573099415204685,-1.6836704675583043,-0.0,1.0878324382646627
85,Centro,311212,59.0,2004,420,2,0,1.3324160270586243,-0.0959113696561361,0.3325670498084289,-1.6836704675583043,-0.5143355403685455,0.6976316723653816
86,Centro,311213,17.0,2004,420,2,0,1.3324160270586243,-0.0959113696561361,0.3325670498084289,-1.6836704675583043,-0.5143355403685455,0.8668664742421532
87,Centro,311214,355.0,2004,420,1,1,1.3324160270586243,2.329740763280583,1.0000000000000007,-1.6836704675583043,0.0,2.03015457958855
88,Centro,311215,6.0,2004,420,2,1,1.3324160270586243,1.3273109217171475,0.6579939668174958,-1.6836704675583043,-0.0,1.8357172395716186
89,Centro,311221,11.0,2004,420,2,0,1.3324160270586243,-0.0959113696561361,0.3325670498084289,-1.6836704675583043,-0.5143355403685455,0.9971797350759409
90,Centro,311222,38.0,2004,420,2,0,1.3324160270586243,-0.0959113696561361,0.3325670498084289,-1.6836704675583043,-0.5143355403685455,0.6327188671539365
91,Centro,311230,16.0,2004,420,2,0,1.3324160270586243,-1.3342136679021692,0.32551020408163256,-1.6836704675583043,-0.9684274880435239,0.9551699457933626
92,Centro,311311,18.0,2004,420,2,0,1.3324160270586243,-1.7550061177120173,0.2505995203836931,-1.6836704675583043,-1.1298779225686537,0.4450223611082712
93,Centro,311319,1.0,2004,420,1,0,1.3324160270586243,-2.9933084159580505,0.15614617940199338,-1.6836704675583043,-1.2907496667866316,0.07198891135574975
94,Centro,311340,398.0,2004,420,2,0,1.3324160270586243,-0.0959113696561361,0.3325670498084289,-1.6836704675583043,-0.5143355403685455,0.928650093866545
95,Centro,311350,87.0,2004,420,2,1,1.3324160270586243,-0.33178382633873404,0.7573099415204685,-1.6836704675583043,-0.0,1.0594189044293918
96,Centro,311411,26.0,2004,420,2,1,1.3324160270586243,0.9065184719073001,0.6461864406779658,-1.6836704675583043,-0.0,1.026422542556174
97,Centro,311412,33.0,2004,420,2,1,1.3324160270586243,-0.33178382633873404,0.7573099415204685,-1.6836704675583043,-0.0,1.0489812797552105
98,Centro,311421,10.0,2004,420,1,0,1.3324160270586243,-0.5167038194659831,0.2625607779578606,-1.6836704675583043,-0.3835954897919887,0.10878324382646629
99,Centro,311422,132.0,2004,420,3,0,1.3324160270586243,-1.0617103850901077,0.3197158081705152,-1.6836704675583043,-0.9250165144457837,0.644882702923363
100,Centro,311423,19.0,2004,420,2,0,1.3324160270586243,-0.0959113696561361,0.3325670498084289,-1.6836704675583043,-0.5143355403685455,0.9490783007309047
101,Centro,311511,25.0,2004,420,2,0,1.3324160270586243,-0.0959113696561361,0.3325670498084289,-1.6836704675583043,-0.5143355403685455,0.4466465303093962
102,Centro,311512,9.0,2004,420,2,1,1.3324160270586243,1.3273109217171475,0.6579939668174958,-1.6836704675583043,-0.0,1.101430343742971
103,Centro,311513,432.0,2004,420,2,0,1.3324160270586243,-1.7550061177120173,0.2505995203836931,-1.6836704675583043,-1.1298779225686537,0.5861270121913815
104,Centro,311520,5003.0,2004,420,2,1,1.3324160270586243,0.9065184719073001,0.6461864406779658,-1.6836704675583043,-0.0,1.1171843626891476
105,Centro,311611,374.0,2004,420,2,0,1.3324160270586243,-1.7550061177120173,0.2505995203836931,-1.6836704675583043,-1.1298779225686537,0.7168449465933546
106,Centro,311612,53.0,2004,420,2,0,1.3324160270586243,-0.0959113696561361,0.3325670498084289,-1.6836704675583043,-0.5143355403685455,0.870630995054101
107,Centro,311613,272.0,2004,420,2,0,1.3324160270586243,-0.0959113696561361,0.3325670498084289,-1.6836704675583043,-0.5143355403685455,0.8771455233438388
108,Centro,311614,149.0,2004,420,2,1,1.3324160270586243,1.3273109217171475,0.6579939668174958,-1.6836704675583043,-0.0,1.211614036306406
109,Centro,311710,13.0,2004,420,3,0,1.3324160270586243,-1.0617103850901077,0.3197158081705152,-1.6836704675583043,-0.9250165144457837,0.09196271335040863
110,Centro,311811,608.0,2004,420,2,0,1.3324160270586243,-0.0959113696561361,0.3325670498084289,-1.6836704675583043,-0.5143355403685455,0.42470170534990254
111,Centro,311812,12184.0,2004,420,2,1,1.3324160270586243,-0.33178382633873404,0.7573099415204685,-1.6836704675583043,-0.0,1.1173412687368853
112,Centro,311820,182.0,2004,420,2,1,1.3324160270586243,0.9065184719073001,0.6461864406779658,-1.6836704675583043,-0.0,1.1692057308907597
113,Centro,311830,27924.0,2004,420,2,1,1.3324160270586243,-0.33178382633873404,0.7573099415204685,-1.6836704675583043,-0.0,1.0770327969827842
