,year,location_code,hs_product_code,export_value
0,2004,Aguascalientes,112511,0.0
1,2004,Aguascalientes,112512,0.0
2,2004,Aguascalientes,114111,0.0
3,2004,Aguascalientes,114112,0.0
4,2004,Aguascalientes,114113,0.0
5,2004,Aguascalientes,114119,0.0
6,2004,Aguascalientes,211111,0.0
7,2004,Aguascalientes,212110,0.0
8,2004,Aguascalientes,212210,0.0
9,2004,Aguascalientes,212221,0.0
10,2004,Aguascalientes,212222,0.0
11,2004,Aguascalientes,212232,0.0
12,2004,Aguascalientes,212311,0.0
13,2004,Aguascalientes,212312,0.0
14,2004,Aguascalientes,212319,0.0
15,2004,Aguascalientes,212321,314.0
16,2004,Aguascalientes,212322,0.0
17,2004,Aguascalientes,212324,0.0
18,2004,Aguascalientes,212325,0.0
19,2004,Aguascalientes,212329,0.0
20,2004,Aguascalientes,212391,0.0
21,2004,Aguascalientes,212392,0.0
22,2004,Aguascalientes,212393,0.0
23,2004,Aguascalientes,212395,0.0
24,2004,Aguascalientes,212398,0.0
25,2004,Aguascalientes,212399,0.0
26,2004,Aguascalientes,213111,0.0
27,2004,Aguascalientes,213119,382.0
28,2004,Aguascalientes,221111,0.0
29,2004,Aguascalientes,221311,0.0
30,2004,Aguascalientes,221312,0.0
31,2004,Aguascalientes,236111,0.0
32,2004,Aguascalientes,236112,0.0
33,2004,Aguascalientes,236113,0.0
34,2004,Aguascalientes,236211,713.0
35,2004,Aguascalientes,236221,1887.0
36,2004,Aguascalientes,236222,0.0
37,2004,Aguascalientes,237111,73.0
38,2004,Aguascalientes,237112,0.0
39,2004,Aguascalientes,237121,0.0
40,2004,Aguascalientes,237122,0.0
41,2004,Aguascalientes,237131,425.0
42,2004,Aguascalientes,237132,45.0
43,2004,Aguascalientes,237211,0.0
44,2004,Aguascalientes,237212,0.0
45,2004,Aguascalientes,237312,0.0
46,2004,Aguascalientes,237991,0.0
47,2004,Aguascalientes,237992,0.0
48,2004,Aguascalientes,237993,0.0
49,2004,Aguascalientes,237994,0.0
50,2004,Aguascalientes,238110,0.0
51,2004,Aguascalientes,238121,0.0
52,2004,Aguascalientes,238122,0.0
53,2004,Aguascalientes,238130,0.0
54,2004,Aguascalientes,238190,24.0
55,2004,Aguascalientes,238210,133.0
56,2004,Aguascalientes,238221,0.0
57,2004,Aguascalientes,238222,0.0
58,2004,Aguascalientes,238290,0.0
59,2004,Aguascalientes,238311,29.0
60,2004,Aguascalientes,238312,12.0
61,2004,Aguascalientes,238320,0.0
62,2004,Aguascalientes,238330,0.0
63,2004,Aguascalientes,238340,0.0
64,2004,Aguascalientes,238350,0.0
65,2004,Aguascalientes,238390,0.0
66,2004,Aguascalientes,238910,0.0
67,2004,Aguascalientes,238990,0.0
68,2004,Aguascalientes,311110,798.0
69,2004,Aguascalientes,311211,0.0
70,2004,Aguascalientes,311212,0.0
71,2004,Aguascalientes,311213,0.0
72,2004,Aguascalientes,311214,0.0
73,2004,Aguascalientes,311221,0.0
74,2004,Aguascalientes,311222,0.0
75,2004,Aguascalientes,311230,0.0
76,2004,Aguascalientes,311311,0.0
77,2004,Aguascalientes,311319,0.0
78,2004,Aguascalientes,311340,0.0
79,2004,Aguascalientes,311350,0.0
80,2004,Aguascalientes,311411,0.0
81,2004,Aguascalientes,311412,0.0
82,2004,Aguascalientes,311421,0.0
83,2004,Aguascalientes,311422,0.0
84,2004,Aguascalientes,311423,0.0
85,2004,Aguascalientes,311511,0.0
86,2004,Aguascalientes,311512,0.0
87,2004,Aguascalientes,311513,0.0
88,2004,Aguascalientes,311520,468.0
89,2004,Aguascalientes,311611,544.0
90,2004,Aguascalientes,311612,0.0
91,2004,Aguascalientes,311613,0.0
92,2004,Aguascalientes,311614,37.0
93,2004,Aguascalientes,311710,0.0
94,2004,Aguascalientes,311811,273.0
95,2004,Aguascalientes,311812,1372.0
96,2004,Aguascalientes,311820,97.0
97,2004,Aguascalientes,311830,1162.0
98,2004,Aguascalientes,311910,264.0
99,2004,Aguascalientes,311921,0.0
100,2004,Aguascalientes,311922,0.0
101,2004,Aguascalientes,311930,0.0
102,2004,Aguascalientes,311940,0.0
103,2004,Aguascalientes,311991,0.0
104,2004,Aguascalientes,311992,0.0
105,2004,Aguascalientes,311993,0.0
106,2004,Aguascalientes,311999,40.0
107,2004,Aguascalientes,312111,1685.0
108,2004,Aguascalientes,312112,874.0
109,2004,Aguascalientes,312113,67.0
110,2004,Aguascalientes,312120,0.0
111,2004,Aguascalientes,312131,0.0
112,2004,Aguascalientes,312139,0.0
113,2004,Aguascalientes,312141,0.0
114,2004,Aguascalientes,312142,0.0
115,2004,Aguascalientes,312149,0.0
116,2004,Aguascalientes,312221,0.0
117,2004,Aguascalientes,313111,0.0
118,2004,Aguascalientes,313112,2184.0
119,2004,Aguascalientes,313113,0.0
120,2004,Aguascalientes,313210,110.0
121,2004,Aguascalientes,313220,134.0
122,2004,Aguascalientes,313230,0.0
123,2004,Aguascalientes,313240,176.0
124,2004,Aguascalientes,313310,1239.0
125,2004,Aguascalientes,313320,0.0
126,2004,Aguascalientes,314110,0.0
127,2004,Aguascalientes,314120,3300.0
128,2004,Aguascalientes,314911,0.0
129,2004,Aguascalientes,314912,48.0
130,2004,Aguascalientes,314991,102.0
131,2004,Aguascalientes,314992,0.0
132,2004,Aguascalientes,314993,0.0
133,2004,Aguascalientes,314999,0.0
134,2004,Aguascalientes,315110,0.0
135,2004,Aguascalientes,315191,0.0
136,2004,Aguascalientes,315192,0.0
137,2004,Aguascalientes,315210,28.0
138,2004,Aguascalientes,315221,0.0
139,2004,Aguascalientes,315222,0.0
140,2004,Aguascalientes,315223,1958.0
141,2004,Aguascalientes,315224,35.0
142,2004,Aguascalientes,315225,52.0
143,2004,Aguascalientes,315229,13361.0
144,2004,Aguascalientes,315991,122.0
145,2004,Aguascalientes,315999,104.0
146,2004,Aguascalientes,316110,0.0
147,2004,Aguascalientes,316211,27.0
148,2004,Aguascalientes,316212,0.0
149,2004,Aguascalientes,316213,0.0
150,2004,Aguascalientes,316214,0.0
151,2004,Aguascalientes,316219,0.0
152,2004,Aguascalientes,316991,20.0
153,2004,Aguascalientes,316999,258.0
154,2004,Aguascalientes,321111,0.0
155,2004,Aguascalientes,321112,0.0
156,2004,Aguascalientes,321113,0.0
157,2004,Aguascalientes,321210,0.0
158,2004,Aguascalientes,321910,538.0
159,2004,Aguascalientes,321920,110.0
160,2004,Aguascalientes,321991,0.0
161,2004,Aguascalientes,321992,65.0
162,2004,Aguascalientes,321993,0.0
163,2004,Aguascalientes,321999,70.0
164,2004,Aguascalientes,322122,0.0
165,2004,Aguascalientes,322132,0.0
166,2004,Aguascalientes,322210,437.0
167,2004,Aguascalientes,322220,16.0
168,2004,Aguascalientes,322230,0.0
169,2004,Aguascalientes,322291,0.0
170,2004,Aguascalientes,322299,44.0
171,2004,Aguascalientes,323111,346.0
172,2004,Aguascalientes,323119,581.0
173,2004,Aguascalientes,323120,34.0
174,2004,Aguascalientes,324110,0.0
