,year,location_code,hs_product_code,export_value
159,2004,Aguascalientes,315221,1.0
160,2004,Aguascalientes,315222,5.0
161,2004,Aguascalientes,315223,67.0
162,2004,Aguascalientes,315224,8.0
163,2004,Aguascalientes,315225,27.0
164,2004,Aguascalientes,315229,141.0
165,2004,Aguascalientes,315991,4.0
166,2004,Aguascalientes,315999,8.0
167,2004,Aguascalientes,316110,0.0
168,2004,Aguascalientes,316211,6.0
169,2004,Aguascalientes,316212,1.0
170,2004,Aguascalientes,316213,0.0
171,2004,Aguascalientes,316214,0.0
172,2004,Aguascalientes,316219,3.0
173,2004,Aguascalientes,316991,5.0
174,2004,Aguascalientes,316999,22.0
175,2004,Aguascalientes,321111,0.0
176,2004,Aguascalientes,321112,0.0
177,2004,Aguascalientes,321113,0.0
178,2004,Aguascalientes,321210,0.0
179,2004,Aguascalientes,321910,195.0
180,2004,Aguascalientes,321920,6.0
181,2004,Aguascalientes,321991,0.0
182,2004,Aguascalientes,321992,14.0
183,2004,Aguascalientes,321993,0.0
184,2004,Aguascalientes,321999,17.0
185,2004,Aguascalientes,322110,0.0
186,2004,Aguascalientes,322121,0.0
187,2004,Aguascalientes,322122,0.0
188,2004,Aguascalientes,322132,0.0
189,2004,Aguascalientes,322210,9.0
190,2004,Aguascalientes,322220,3.0
191,2004,Aguascalientes,322230,0.0
192,2004,Aguascalientes,322291,0.0
193,2004,Aguascalientes,322299,14.0
194,2004,Aguascalientes,323111,12.0
195,2004,Aguascalientes,323119,146.0
196,2004,Aguascalientes,323120,13.0
197,2004,Aguascalientes,324110,1.0
198,2004,Aguascalientes,324120,0.0
199,2004,Aguascalientes,324191,0.0
200,2004,Aguascalientes,324199,0.0
201,2004,Aguascalientes,325110,0.0
202,2004,Aguascalientes,325120,0.0
203,2004,Aguascalientes,325130,0.0
204,2004,Aguascalientes,325180,0.0
205,2004,Aguascalientes,325190,0.0
206,2004,Aguascalientes,325211,1.0
207,2004,Aguascalientes,325212,0.0
208,2004,Aguascalientes,325220,0.0
209,2004,Aguascalientes,325310,1.0
210,2004,Aguascalientes,325320,1.0
211,2004,Aguascalientes,325411,0.0
212,2004,Aguascalientes,325412,4.0
213,2004,Aguascalientes,325510,3.0
214,2004,Aguascalientes,325520,0.0
215,2004,Aguascalientes,325610,7.0
216,2004,Aguascalientes,325620,5.0
217,2004,Aguascalientes,325910,0.0
218,2004,Aguascalientes,325920,0.0
219,2004,Aguascalientes,325991,0.0
220,2004,Aguascalientes,325992,0.0
221,2004,Aguascalientes,325993,1.0
222,2004,Aguascalientes,325999,0.0
223,2004,Aguascalientes,326110,9.0
224,2004,Aguascalientes,326120,2.0
225,2004,Aguascalientes,326130,6.0
226,2004,Aguascalientes,326140,2.0
227,2004,Aguascalientes,326150,1.0
228,2004,Aguascalientes,326160,0.0
229,2004,Aguascalientes,326191,2.0
230,2004,Aguascalientes,326192,4.0
231,2004,Aguascalientes,326193,3.0
232,2004,Aguascalientes,326194,4.0
233,2004,Aguascalientes,326198,2.0
234,2004,Aguascalientes,326199,8.0
235,2004,Aguascalientes,326211,0.0
236,2004,Aguascalientes,326212,2.0
237,2004,Aguascalientes,326220,4.0
238,2004,Aguascalientes,326290,3.0
239,2004,Aguascalientes,327111,5.0
240,2004,Aguascalientes,327112,2.0
241,2004,Aguascalientes,327121,27.0
242,2004,Aguascalientes,327122,0.0
243,2004,Aguascalientes,327123,0.0
244,2004,Aguascalientes,327211,1.0
245,2004,Aguascalientes,327212,0.0
246,2004,Aguascalientes,327213,0.0
247,2004,Aguascalientes,327214,0.0
248,2004,Aguascalientes,327215,1.0
249,2004,Aguascalientes,327216,1.0
250,2004,Aguascalientes,327219,12.0
