,Estado,Year,Population,GDP,GDPperCAP
490,Tlaxcala,2018,1308368.8,98881.599,0.0755762434873103
491,Tlaxcala,2019,1325672.9,103564.841,0.07812246972839228
493,Veracruz,2004,7110214.0,643859.491,0.09055416489574013
494,Veracruz,2005,7110214.0,648906.398,0.09126397573968942
495,Veracruz,2006,7216810.0,684557.368,0.09485594992801528
496,Veracruz,2007,7323406.0,705608.578,0.09634978287425278
497,Veracruz,2008,7430002.0,704314.03,0.09479324904623175
498,Veracruz,2009,7536598.0,688981.395,0.09141809009847679
499,Veracruz,2010,7643194.0,718148.55,0.09395922045155468
500,Veracruz,2011,7685132.5,746817.731,0.09717694925884492
501,Veracruz,2012,7727071.0,779730.434,0.10090892577536818
502,Veracruz,2013,7769009.5,781357.276,0.10057360285117427
503,Veracruz,2014,7810948.0,780785.356,0.09996038329790444
504,Veracruz,2015,7852886.5,785745.931,0.10005823094476152
505,Veracruz,2016,7894825.0,784930.108,0.09942337011903367
506,Veracruz,2017,7936763.5,776072.856,0.09778203117681408
507,Veracruz,2018,7978702.0,794018.647,0.09951727072899827
508,Veracruz,2019,8020640.5,801594.693,0.09994148135675698
510,Yucatán,2004,1818948.0,169013.747,0.09291840503411862
511,Yucatán,2005,1818948.0,176907.681,0.09725823992769447
512,Yucatán,2006,1846273.8,185462.602,0.10045238252311223
513,Yucatán,2007,1873599.6,191217.075,0.10205866557614551
514,Yucatán,2008,1900925.4,193158.623,0.10161294230694166
515,Yucatán,2009,1928251.2,189365.458,0.09820580326878574
516,Yucatán,2010,1955577.0,196149.981,0.10030286764469003
517,Yucatán,2011,1992109.1,202893.85,0.10184876420673948
518,Yucatán,2012,2028641.2,214700.599,0.10583468333384928
519,Yucatán,2013,2065173.3,215788.237,0.1044891665992389
520,Yucatán,2014,2101705.4,223858.768,0.10651291470250779
521,Yucatán,2015,2138237.5,230374.526,0.10774038244114605
522,Yucatán,2016,2174769.6,242505.306,0.11150850462504167
523,Yucatán,2017,2211301.7,252391.124,0.1141369013554324
524,Yucatán,2018,2247833.8,261283.809,0.11623804615803893
525,Yucatán,2019,2284365.9,263341.632,0.1152799698156937
527,Zacatecas,2004,1367692.0,105664.685,0.07725766108158855
528,Zacatecas,2005,1367692.0,105661.441,0.07725528920253975
529,Zacatecas,2006,1392287.2,112108.368,0.08052100744731404
530,Zacatecas,2007,1416882.4,115935.139,0.08182410833813732
531,Zacatecas,2008,1441477.6,126383.577,0.08767640718107586
532,Zacatecas,2009,1466072.8,130512.0,0.08902150016015575
533,Zacatecas,2010,1490668.0,144730.56,0.09709107594715925
534,Zacatecas,2011,1503815.0,144876.886,0.0963395670345089
535,Zacatecas,2012,1516962.0,148728.64,0.09804374796468206
536,Zacatecas,2013,1530109.0,146858.788,0.09597929820685977
537,Zacatecas,2014,1543256.0,156808.457,0.10160884325089291
538,Zacatecas,2015,1556403.0,159905.359,0.10274033074981223
539,Zacatecas,2016,1569550.0,157998.056,0.1006645573572043
540,Zacatecas,2017,1582697.0,157621.131,0.09959021278235822
541,Zacatecas,2018,1595844.0,157631.239,0.09877609528249628
542,Zacatecas,2019,1608991.0,151882.034,0.0943958257069182
