anio,nuevas_inversiones,reinversion_utilidades,cuentas_entre_companias,total,edo,ied
2006,14.575433079999996,52.05547362999999,19.72993694000002,86.36084364999996,Aguascalientes,66.63090670999998
2007,59.36395867392622,360.0055524200001,32.75386812000006,452.1233792139262,Aguascalientes,419.3695110939263
2008,30.845366160000005,248.30305705999993,-33.249893939999964,245.89852928000002,Aguascalientes,279.1484232199999
2009,4.625125550000001,14.6144112,-21.24334263000002,-2.0038058800000105,Aguascalientes,19.23953675
2010,-0.4510152399999997,36.528363580000004,83.53835673999995,119.61570507999997,Aguascalientes,36.07734834000001
2011,1.9538281299999996,10.43653095,367.7588826200001,380.14924170000006,Aguascalientes,12.39035908
2012,36.9733046,309.88236278999995,396.8040027899999,743.6596701800006,Aguascalientes,346.85566738999995
2013,63.20678847,97.97599632050705,-19.76480939,141.41797540050695,Aguascalientes,161.18278479050704
2014,3.6926382,11.756585600000001,53.96131270999998,69.41053650999999,Aguascalientes,15.449223800000002
2015,0.2380015099999997,11.2222699,-62.659853320000046,-51.19958191000005,Aguascalientes,11.46027141
2016,5.6543480754454825,-176.18672146000006,53.07488014000005,-117.45749324455447,Aguascalientes,-170.53237338455457
2017,72.79177625544547,-55.231869639492956,24.611530140000095,42.171436755952605,Aguascalientes,17.559906615952514
2018,25.05750209,135.7519481451249,148.33517065999996,309.14462089512483,Aguascalientes,160.80945023512493
2019,0.5125272707761385,85.2623416595756,109.51797738000005,195.29284631035185,Aguascalientes,85.77486893035173
2020,0.0,50.97027486751007,-13.173960270000006,62.19803127751008,Aguascalientes,50.97027486751007
2021,-5.112725872047996,52.150470880878274,-15.374046570258075,31.663698438572155,Aguascalientes,47.03774500883028
2022,44.859020168728144,324.13503555308887,229.30514119974234,598.2991969215589,Aguascalientes,368.994055721817
2006,171.74912853999993,-1.235194529999995,-32.15079710000001,138.36313690999992,Baja California,170.51393400999993
2007,373.02079057166793,570.23332527,240.4739612599995,1183.7280771016676,Baja California,943.254115841668
2008,82.61233539,415.6514332000001,253.62626653,751.8900351200014,Baja California,498.2637685900001
2009,2.370789280000004,-22.644796740000004,235.1943844899999,214.92037702999988,Baja California,-20.27400746
2010,38.37512187000001,2.6187090700000013,-46.41785925000003,-5.424028309999963,Baja California,40.99383094000001
2011,86.14556058999999,1.1760734499999987,146.68205789000004,234.00369193000012,Baja California,87.32163403999999
2012,209.50380713000004,396.80141898000005,589.0848496600005,1195.3900757699998,Baja California,606.3052261100001
2013,15.588387558740271,385.5111792661095,69.17764017000003,470.27720699484956,Baja California,401.0995668248498
2014,1070.86211157,10.16000816,239.32596141999997,1320.3480811500008,Baja California,1081.02211973
2015,24.41588706750825,25.28376971,216.12604434,265.8257011175081,Baja California,49.69965677750825
2016,58.80943696441908,24.158204029999997,83.30739403999996,166.27503503441906,Baja California,82.96764099441907
2017,1169.6758231606666,445.11316116610965,607.9370399699983,2222.726024296775,Baja California,1614.7889843267762
2018,246.05306963846658,372.2803358398217,350.0471820399999,968.3805875182882,Baja California,618.3334054782883
2019,50.399511196988065,39.36582620152263,196.99182272000016,286.7571601185107,Baja California,89.7653373985107
2020,47.604335232123304,24.476978447000178,195.2029238410999,267.2842375202233,Baja California,72.08131367912348
2021,135.95018372478845,17.413274282365983,197.96232602158042,351.3257840287352,Baja California,153.36345800715443
2022,480.00709979236603,453.53641477071056,940.2042546226803,1873.747769185756,Baja California,933.5435145630765
2006,99.03459587999997,16.117860280000002,-1.6811054100000151,113.47135074999997,Baja California Sur,115.15245615999997
2007,357.4572981712172,90.85841437999997,16.65731569,464.97302824121704,Baja California Sur,448.3157125512172
2008,191.49661374999994,59.42671048000001,41.31541741,292.23874163999994,Baja California Sur,250.92332422999993
2009,42.920418719999994,7.814437310000001,60.43133277000001,111.16618880000001,Baja California Sur,50.734856029999996
2010,69.59861449712575,24.507437,36.779569579999986,130.88562107712582,Baja California Sur,94.10605149712575
2011,116.71906235000002,-0.10361900000000017,-43.15394647000001,73.46149688000004,Baja California Sur,116.61544335000002
2012,420.73470931712563,91.64496578999999,95.37237329000013,607.7520483971261,Baja California Sur,512.3796751071256
2013,191.8008031745117,37.7438242357327,12.097590239999997,241.6422176502445,Baja California Sur,229.5446274102444
2014,150.40816260000003,0.27021923,-14.58227388,136.09610795000012,Baja California Sur,150.67838183000003
2015,311.99834677000035,-0.6778377999999999,-6.25661203,305.06389694000023,Baja California Sur,311.32050897000033
2016,436.072276058289,-1.6176781099999995,-32.225343910000014,402.22925403828896,Baja California Sur,434.454597948289
2017,1090.2795886028005,35.718527555732706,-40.96663957999999,1085.031476578533,Baja California Sur,1125.998116158533
2018,170.4464948273168,152.1929276260438,-0.047428409999994495,322.5919940433605,Baja California Sur,322.63942245336057
2019,146.72119925191075,5.6221803450489505,1.944660949999999,154.2880405469596,Baja California Sur,152.3433795969597
2020,177.89464984206862,-8.480551727217573,-3.676127410000001,165.73797070485105,Baja California Sur,169.41409811485104
2021,189.9532151909549,-33.137215253749204,17.19550337401672,174.0115033112223,Baja California Sur,156.81599993720567
2022,685.0155591122509,116.19734099012591,15.41660850401672,816.6295086063936,Baja California Sur,801.2129001023768
2006,37.756181960000006,4.230878,-31.592917179999997,10.394142779999994,Campeche,41.98705996
2007,82.94496195502352,42.682972939999985,26.23779639999999,151.8657312950235,Campeche,125.6279348950235
2008,18.55365491,46.14469457999999,12.318362555585743,77.0167120455857,Campeche,64.69834949
2009,6.482738539999997,2.27566941,25.09938144999999,33.8577894,Campeche,8.758407949999997
2010,80.10103826,0.0,-2.3453516352091692,79.0224676347908,Campeche,80.10103826
2011,17.73982362,-1.11168002,2.619987955628805,19.24813155562881,Campeche,16.628143599999998
2012,122.87725533000001,48.57546497999999,37.692380326005384,209.1451006360053,Campeche,171.45272031000002
2013,0.11764519000000007,42.30994456114558,6.394980719999999,48.822570471145596,Campeche,42.427589751145575
2014,33.05095268,57.97773063999999,-12.77203586,78.25664746,Campeche,91.02868332
2015,105.76931106,1.1422947199999998,-26.18036814,80.73123764000002,Campeche,106.91160578
2016,-1.9182593800000003,-0.6426638400000002,13.16854139,10.607618169999999,Campeche,-2.5609232200000003
2017,137.01964955000003,100.78730608114556,-19.388881889999983,218.41807374114563,Campeche,237.80695563114557
