,location_code,hs_product_code,export_value,year,diversity,ubiquity,mcp,eci,pci,density,coi,cog,rca
0,Centro,112511,0.0,2004,448,2,0,1.6921803024985602,-1.2544216950301557,0.3406088454910974,-1.7111654924784034,-1.2332988453799216,0.0
1,Centro,112512,2670.0,2004,448,2,1,1.6921803024985602,1.079600335677584,0.7359928283281043,-1.7111654924784034,-0.0,1.2077667318581635
2,Centro,114111,0.0,2004,448,2,0,1.6921803024985602,-0.9021538623174805,0.3445006321112516,-1.7111654924784034,-0.9268224541564908,0.0
3,Centro,114112,0.0,2004,448,2,0,1.6921803024985602,-1.4384003395249798,0.3069511355815554,-1.7111654924784034,-1.2163475893358433,0.0
4,Centro,114113,0.0,2004,448,1,0,1.6921803024985602,-1.7906681722376527,0.2334593572778828,-1.7111654924784034,-1.2409110461560142,0.0
5,Centro,114119,1882.0,2004,448,2,0,1.6921803024985602,-0.9021538623174782,0.3445006321112516,-1.7111654924784034,-0.9268224541564908,0.039861330566344104
6,Centro,211111,0.0,2004,448,1,0,1.6921803024985602,-1.0861325068123147,0.26891891891891895,-1.7111654924784034,-0.6193946952005219,0.0
7,Centro,212110,0.0,2004,448,1,0,1.6921803024985602,-1.7906681722376547,0.2334593572778828,-1.7111654924784034,-1.2409110461560142,0.0
8,Centro,212210,0.0,2004,448,1,0,1.6921803024985602,-0.7181752178226404,0.3270321361058601,-1.7111654924784034,-0.5812431522556256,0.0
9,Centro,212221,0.0,2004,448,1,0,1.6921803024985602,-1.7906681722376547,0.2334593572778828,-1.7111654924784034,-1.2409110461560142,0.0
10,Centro,212222,265.0,2004,448,1,0,1.6921803024985602,-1.7906681722376547,0.2334593572778828,-1.7111654924784034,-1.2409110461560142,0.3907505690303619
11,Centro,212232,0.0,2004,448,1,0,1.6921803024985602,-1.7906681722376547,0.2334593572778828,-1.7111654924784034,-1.2409110461560142,0.0
12,Centro,212311,1641.0,2004,448,1,0,1.6921803024985602,-1.7906681722376547,0.2334593572778828,-1.7111654924784034,-1.2409110461560142,0.9324880787378803
13,Centro,212312,1055.0,2004,448,1,1,1.6921803024985602,2.8773758891778023,0.9999999999999996,-1.7111654924784034,0.0,2.0394378801048427
14,Centro,212319,1807.0,2004,448,1,1,1.6921803024985602,2.8773758891778023,0.9999999999999996,-1.7111654924784034,0.0,2.023279169328595
15,Centro,212321,3769.0,2004,448,2,0,1.6921803024985602,-0.9021538623174782,0.3445006321112516,-1.7111654924784034,-0.9268224541564908,0.8194940041484093
16,Centro,212322,767.0,2004,448,1,1,1.6921803024985602,2.8773758891778023,0.9999999999999996,-1.7111654924784034,0.0,1.9128664823266432
17,Centro,212324,21.0,2004,448,2,0,1.6921803024985602,-1.4384003395249843,0.3069511355815554,-1.7111654924784034,-1.2163475893358433,0.07169956229181086
18,Centro,212325,93.0,2004,448,1,0,1.6921803024985602,-1.0861325068123147,0.26891891891891895,-1.7111654924784034,-0.6193946952005219,0.6176545463963823
19,Centro,212329,28.0,2004,448,2,0,1.6921803024985602,-1.4384003395249843,0.3069511355815554,-1.7111654924784034,-1.2163475893358433,0.06355391913506331
20,Centro,212391,200.0,2004,448,1,0,1.6921803024985602,-1.0861325068123147,0.26891891891891895,-1.7111654924784034,-0.6193946952005219,0.4415533804075437
21,Centro,212392,553.0,2004,448,2,1,1.6921803024985602,1.079600335677581,0.7359928283281043,-1.7111654924784034,-0.0,1.4555296594092189
22,Centro,212393,0.0,2004,448,1,0,1.6921803024985602,-1.7906681722376547,0.2334593572778828,-1.7111654924784034,-1.2409110461560142,0.0
23,Centro,212395,0.0,2004,448,1,0,1.6921803024985602,-1.7906681722376547,0.2334593572778828,-1.7111654924784034,-1.2409110461560142,0.0
24,Centro,212398,0.0,2004,448,1,0,1.6921803024985602,-1.7906681722376547,0.2334593572778828,-1.7111654924784034,-1.2409110461560142,0.0
25,Centro,212399,0.0,2004,448,2,0,1.6921803024985602,-1.2544216950301483,0.3406088454910974,-1.7111654924784034,-1.2332988453799216,0.0
26,Centro,213111,0.0,2004,448,1,0,1.6921803024985602,-1.0861325068123147,0.26891891891891895,-1.7111654924784034,-0.6193946952005219,0.0
27,Centro,213119,0.0,2004,448,2,0,1.6921803024985602,-1.2544216950301483,0.3406088454910974,-1.7111654924784034,-1.2332988453799216,0.0
28,Centro,221111,0.0,2004,448,2,0,1.6921803024985602,-1.4384003395249843,0.3069511355815554,-1.7111654924784034,-1.2163475893358433,0.0
29,Centro,221311,198.0,2004,448,1,1,1.6921803024985602,2.8773758891778023,0.9999999999999996,-1.7111654924784034,0.0,2.424128058437415
30,Centro,221312,4141.0,2004,448,2,0,1.6921803024985602,-1.4384003395249843,0.3069511355815554,-1.7111654924784034,-1.2163475893358433,0.36089571418261135
31,Centro,236111,40744.0,2004,448,2,0,1.6921803024985602,-1.2544216950301483,0.3406088454910974,-1.7111654924784034,-1.2332988453799216,0.5421696607783483
32,Centro,236112,14635.0,2004,448,1,1,1.6921803024985602,2.8773758891778023,0.9999999999999996,-1.7111654924784034,0.0,1.3932810012658197
33,Centro,236113,164.0,2004,448,2,0,1.6921803024985602,-1.2544216950301483,0.3406088454910974,-1.7111654924784034,-1.2332988453799216,0.9696512233749659
34,Centro,236211,4793.0,2004,448,2,0,1.6921803024985602,-1.2544216950301483,0.3406088454910974,-1.7111654924784034,-1.2332988453799216,0.48814577699733336
35,Centro,236221,31674.0,2004,448,1,0,1.6921803024985602,-0.7181752178226404,0.3270321361058601,-1.7111654924784034,-0.5812431522556256,0.8085872925182362
36,Centro,236222,162.0,2004,448,2,1,1.6921803024985602,0.5433538584700736,0.7340627973358699,-1.7111654924784034,-0.0,1.25868187649635
37,Centro,237111,611.0,2004,448,2,0,1.6921803024985602,-1.2544216950301483,0.3406088454910974,-1.7111654924784034,-1.2332988453799216,0.31400089966191663
38,Centro,237112,0.0,2004,448,2,0,1.6921803024985602,-1.2544216950301483,0.3406088454910974,-1.7111654924784034,-1.2332988453799216,0.0
39,Centro,237121,992.0,2004,448,2,0,1.6921803024985602,-1.4384003395249843,0.3069511355815554,-1.7111654924784034,-1.2163475893358433,0.34013225374397676
40,Centro,237122,5768.0,2004,448,3,1,1.6921803024985602,0.0001917367092769873,0.6362694300518139,-1.7111654924784034,-0.0,1.1539465743226054
41,Centro,237131,11763.0,2004,448,2,1,1.6921803024985602,1.079600335677581,0.7359928283281043,-1.7111654924784034,-0.0,1.5371977547924158
42,Centro,237132,75.0,2004,448,3,0,1.6921803024985602,-1.198325298957538,0.34782608695652184,-1.7111654924784034,-1.1638894148075485,0.1754918961223997
43,Centro,237211,0.0,2004,448,1,0,1.6921803024985602,-0.7181752178226404,0.3270321361058601,-1.7111654924784034,-0.5812431522556256,0.0
44,Centro,237212,3080.0,2004,448,3,0,1.6921803024985602,-1.198325298957538,0.34782608695652184,-1.7111654924784034,-1.1638894148075485,0.3821627895780948
45,Centro,237312,6415.0,2004,448,2,0,1.6921803024985602,-0.9021538623174782,0.3445006321112516,-1.7111654924784034,-0.9268224541564908,0.34084651707162933
46,Centro,237991,99.0,2004,448,1,0,1.6921803024985602,-1.7906681722376547,0.2334593572778828,-1.7111654924784034,-1.2409110461560142,0.5853382385007416
