,year_pair,location_code,Product,export,eci,pci,density,coi,cog,rca1,rca2,M_num_0_5,M_num_0_55,M_num_0_6,M_num_0_65,M_num_0_7,M_num_0_75,M_num_0_8,M_num_0_85,M_num_0_9,M_num_0_95,M_num_1,M_0_5,M_0_55,M_0_6,M_0_65,M_0_7,M_0_75,M_0_8,M_0_85,M_0_9,M_0_95,M_1
16,2004_2009,Centro,212324,21.0,1.6921803024985602,-1.4384003395249843,0.3069511355815554,-1.7111654924784034,-1.2163475893358433,0.07169956229181086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped
17,2004_2009,Centro,212325,93.0,1.6921803024985602,-1.0861325068123147,0.26891891891891895,-1.7111654924784034,-0.6193946952005219,0.6176545463963823,0.390126385862111,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped
18,2004_2009,Centro,212329,28.0,1.6921803024985602,-1.4384003395249843,0.3069511355815554,-1.7111654924784034,-1.2163475893358433,0.06355391913506331,0.0382532684920756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped
19,2004_2009,Centro,212391,200.0,1.6921803024985602,-1.0861325068123147,0.26891891891891895,-1.7111654924784034,-0.6193946952005219,0.4415533804075437,0.48048071360353894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped
20,2004_2009,Centro,212392,553.0,1.6921803024985602,1.079600335677581,0.7359928283281043,-1.7111654924784034,-0.0,1.4555296594092189,1.293871370169891,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,2004_2009,Centro,212395,0.0,1.6921803024985602,-1.7906681722376547,0.2334593572778828,-1.7111654924784034,-1.2409110461560142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped
22,2004_2009,Centro,212399,0.0,1.6921803024985602,-1.2544216950301483,0.3406088454910974,-1.7111654924784034,-1.2332988453799216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped
23,2004_2009,Centro,213111,0.0,1.6921803024985602,-1.0861325068123147,0.26891891891891895,-1.7111654924784034,-0.6193946952005219,0.0,0.9907194787834124,,,,,,,,,,,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Underdeveloped
24,2004_2009,Centro,213119,0.0,1.6921803024985602,-1.2544216950301483,0.3406088454910974,-1.7111654924784034,-1.2332988453799216,0.0,0.02112474753139815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped
25,2004_2009,Centro,221111,0.0,1.6921803024985602,-1.4384003395249843,0.3069511355815554,-1.7111654924784034,-1.2163475893358433,0.0,1.340242808806236,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition
26,2004_2009,Centro,221311,198.0,1.6921803024985602,2.8773758891778023,0.9999999999999996,-1.7111654924784034,0.0,2.424128058437415,2.418783592345088,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,2004_2009,Centro,221312,4141.0,1.6921803024985602,-1.4384003395249843,0.3069511355815554,-1.7111654924784034,-1.2163475893358433,0.36089571418261135,1.1413333125626304,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition
28,2004_2009,Centro,236111,40744.0,1.6921803024985602,-1.2544216950301483,0.3406088454910974,-1.7111654924784034,-1.2332988453799216,0.5421696607783483,0.6144659957773165,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped
29,2004_2009,Centro,236112,14635.0,1.6921803024985602,2.8773758891778023,0.9999999999999996,-1.7111654924784034,0.0,1.3932810012658197,0.8474861455742567,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,2004_2009,Centro,236113,164.0,1.6921803024985602,-1.2544216950301483,0.3406088454910974,-1.7111654924784034,-1.2332988453799216,0.9696512233749659,1.233815995313488,,,,,,,,,,,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Transition
31,2004_2009,Centro,236211,4793.0,1.6921803024985602,-1.2544216950301483,0.3406088454910974,-1.7111654924784034,-1.2332988453799216,0.48814577699733336,0.9120316130687123,,,,,,,,,,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Underdeveloped,Underdeveloped
32,2004_2009,Centro,236221,31674.0,1.6921803024985602,-0.7181752178226404,0.3270321361058601,-1.7111654924784034,-0.5812431522556256,0.8085872925182362,1.04022885601839,,,,,,,,1.0,1.0,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,Transition,Transition,Transition,Transition
33,2004_2009,Centro,236222,162.0,1.6921803024985602,0.5433538584700736,0.7340627973358699,-1.7111654924784034,-0.0,1.25868187649635,1.1615846418366633,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,2004_2009,Centro,237111,611.0,1.6921803024985602,-1.2544216950301483,0.3406088454910974,-1.7111654924784034,-1.2332988453799216,0.31400089966191663,0.6068593896715538,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped
35,2004_2009,Centro,237112,0.0,1.6921803024985602,-1.2544216950301483,0.3406088454910974,-1.7111654924784034,-1.2332988453799216,0.0,0.30411606570420696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped
36,2004_2009,Centro,237121,992.0,1.6921803024985602,-1.4384003395249843,0.3069511355815554,-1.7111654924784034,-1.2163475893358433,0.34013225374397676,0.16670365265705014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped
37,2004_2009,Centro,237122,5768.0,1.6921803024985602,0.0001917367092769873,0.6362694300518139,-1.7111654924784034,-0.0,1.1539465743226054,0.0,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,2004_2009,Centro,237131,11763.0,1.6921803024985602,1.079600335677581,0.7359928283281043,-1.7111654924784034,-0.0,1.5371977547924158,0.8391254081955659,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,2004_2009,Centro,237132,75.0,1.6921803024985602,-1.198325298957538,0.34782608695652184,-1.7111654924784034,-1.1638894148075485,0.1754918961223997,0.28114117907017055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped
40,2004_2009,Centro,237211,0.0,1.6921803024985602,-0.7181752178226404,0.3270321361058601,-1.7111654924784034,-0.5812431522556256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped
41,2004_2009,Centro,237212,3080.0,1.6921803024985602,-1.198325298957538,0.34782608695652184,-1.7111654924784034,-1.1638894148075485,0.3821627895780948,0.5569010869415678,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped
42,2004_2009,Centro,237312,6415.0,1.6921803024985602,-0.9021538623174782,0.3445006321112516,-1.7111654924784034,-0.9268224541564908,0.34084651707162933,0.8792552179205443,,,,,,,,,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,Underdeveloped,Underdeveloped,Underdeveloped
43,2004_2009,Centro,237991,99.0,1.6921803024985602,-1.7906681722376547,0.2334593572778828,-1.7111654924784034,-1.2409110461560142,0.5853382385007416,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped
44,2004_2009,Centro,237992,1089.0,1.6921803024985602,0.8956216911827453,0.7694287184765837,-1.7111654924784034,-0.0,1.2946912484739308,0.2671405648208261,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,2004_2009,Centro,237993,3162.0,1.6921803024985602,2.8773758891778023,0.9999999999999996,-1.7111654924784034,0.0,2.030488190934862,0.7008188479802149,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,2004_2009,Centro,237994,33.0,1.6921803024985602,2.8773758891778023,0.9999999999999996,-1.7111654924784034,0.0,2.424128058437415,1.9163309620511806,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,2004_2009,Centro,238110,3195.0,1.6921803024985602,0.5433538584700736,0.7340627973358699,-1.7111654924784034,-0.0,1.68848684253489,1.7918850370936614,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,2004_2009,Centro,238122,0.0,1.6921803024985602,-0.7181752178226404,0.3270321361058601,-1.7111654924784034,-0.5812431522556256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped
49,2004_2009,Centro,238130,384.0,1.6921803024985602,-1.7906681722376547,0.2334593572778828,-1.7111654924784034,-1.2409110461560142,0.9280809316450322,0.4549202439867946,,,,,,,,,,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Underdeveloped,Underdeveloped
50,2004_2009,Centro,238190,138.0,1.6921803024985602,-1.2544216950301483,0.3406088454910974,-1.7111654924784034,-1.2332988453799216,0.8689082391282161,0.9776403891765172,,,,,,,,,,,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Underdeveloped
51,2004_2009,Centro,238210,1915.0,1.6921803024985602,-1.2544216950301483,0.3406088454910974,-1.7111654924784034,-1.2332988453799216,0.611540670782196,0.6755748270403188,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped
52,2004_2009,Centro,238221,1319.0,1.6921803024985602,0.5433538584700736,0.7340627973358699,-1.7111654924784034,-0.0,1.1025603134755002,1.2301647595755916,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,2004_2009,Centro,238222,1210.0,1.6921803024985602,-1.4384003395249843,0.3069511355815554,-1.7111654924784034,-1.2163475893358433,0.6609272083617107,0.6310890265187475,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped
54,2004_2009,Centro,238290,311.0,1.6921803024985602,-1.2544216950301483,0.3406088454910974,-1.7111654924784034,-1.2332988453799216,0.8302905574603922,1.34846989388594,,,,,,,,1.0,1.0,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,Transition,Transition,Transition,Transition
55,2004_2009,Centro,238311,469.0,1.6921803024985602,-1.2544216950301483,0.3406088454910974,-1.7111654924784034,-1.2332988453799216,0.9675881356656577,0.7109701579955248,,,,,,,,,,,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Underdeveloped
56,2004_2009,Centro,238312,131.0,1.6921803024985602,0.5433538584700736,0.7340627973358699,-1.7111654924784034,-0.0,1.0145711682277998,1.8188868680531516,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,2004_2009,Centro,238320,339.0,1.6921803024985602,-1.4384003395249843,0.3069511355815554,-1.7111654924784034,-1.2163475893358433,0.9090480219140306,0.8322304774384213,,,,,,,,,,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Underdeveloped,Underdeveloped
58,2004_2009,Centro,238330,122.0,1.6921803024985602,2.8773758891778023,0.9999999999999996,-1.7111654924784034,0.0,2.424128058437415,1.1707625741817747,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,2004_2009,Centro,238340,45.0,1.6921803024985602,-1.7906681722376547,0.2334593572778828,-1.7111654924784034,-1.2409110461560142,0.820193703982584,1.025686713209626,,,,,,,,1.0,1.0,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,Transition,Transition,Transition,Transition
60,2004_2009,Centro,238350,118.0,1.6921803024985602,1.079600335677581,0.7359928283281043,-1.7111654924784034,-0.0,1.014351457076649,0.8795576699436684,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,2004_2009,Centro,238390,689.0,1.6921803024985602,-1.7906681722376547,0.2334593572778828,-1.7111654924784034,-1.2409110461560142,0.7598836361525836,0.8697104482040817,,,,,,,,,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,Underdeveloped,Underdeveloped,Underdeveloped
62,2004_2009,Centro,238910,1061.0,1.6921803024985602,-1.4384003395249843,0.3069511355815554,-1.7111654924784034,-1.2163475893358433,0.7625259027578112,0.5721888877219863,,,,,,,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped
63,2004_2009,Centro,238990,826.0,1.6921803024985602,-1.198325298957538,0.34782608695652184,-1.7111654924784034,-1.1638894148075485,0.7125728741171904,0.3436340827745436,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped
64,2004_2009,Centro,311110,4721.0,1.6921803024985602,-0.7181752178226404,0.3270321361058601,-1.7111654924784034,-0.5812431522556256,0.6628233849115623,0.3575577337741406,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped
65,2004_2009,Centro,311211,151.0,1.6921803024985602,-1.0861325068123147,0.26891891891891895,-1.7111654924784034,-0.6193946952005219,0.528201063238167,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped
66,2004_2009,Centro,311212,3550.0,1.6921803024985602,0.12284416637250148,0.6259398496240612,-1.7111654924784034,-0.0,1.124922170908866,1.0379573920759206,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,2004_2009,Centro,311213,11.0,1.6921803024985602,-0.9021538623174782,0.3445006321112516,-1.7111654924784034,-0.9268224541564908,0.03189642182154493,1.1700162493204147,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition
68,2004_2009,Centro,311214,1008.0,1.6921803024985602,2.8773758891778023,0.9999999999999996,-1.7111654924784034,0.0,1.9658254890626823,1.9307922381579175,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
