,year,location_code,hs_product_code,export_value
192,2004,Centro,325620,17563.0
193,2004,Centro,325910,1447.0
194,2004,Centro,325920,0.0
195,2004,Centro,325992,173.0
196,2004,Centro,325993,204.0
197,2004,Centro,325999,3645.0
198,2004,Centro,326110,17606.0
199,2004,Centro,326120,3533.0
200,2004,Centro,326130,1933.0
201,2004,Centro,326140,4216.0
202,2004,Centro,326150,2135.0
203,2004,Centro,326160,10815.0
204,2004,Centro,326191,12540.0
205,2004,Centro,326192,5793.0
206,2004,Centro,326193,7969.0
207,2004,Centro,326194,5827.0
208,2004,Centro,326198,2645.0
209,2004,Centro,326199,6529.0
210,2004,Centro,326211,2672.0
211,2004,Centro,326212,796.0
212,2004,Centro,326220,2795.0
213,2004,Centro,326290,12026.0
214,2004,Centro,327111,6262.0
215,2004,Centro,327112,2027.0
216,2004,Centro,327121,12623.0
217,2004,Centro,327122,2646.0
218,2004,Centro,327123,360.0
219,2004,Centro,327211,3270.0
220,2004,Centro,327212,208.0
221,2004,Centro,327213,7524.0
222,2004,Centro,327214,671.0
223,2004,Centro,327215,718.0
224,2004,Centro,327216,58.0
225,2004,Centro,327219,1683.0
226,2004,Centro,327310,3377.0
227,2004,Centro,327320,1428.0
228,2004,Centro,327330,6868.0
229,2004,Centro,327391,2994.0
230,2004,Centro,327399,488.0
231,2004,Centro,327410,1437.0
232,2004,Centro,327420,993.0
233,2004,Centro,327910,1522.0
234,2004,Centro,327991,3453.0
235,2004,Centro,327999,1724.0
236,2004,Centro,331210,1409.0
237,2004,Centro,331220,2555.0
238,2004,Centro,331310,3999.0
239,2004,Centro,331420,0.0
240,2004,Centro,331490,67.0
241,2004,Centro,331510,2904.0
242,2004,Centro,331520,2898.0
243,2004,Centro,332110,4808.0
244,2004,Centro,332211,3880.0
245,2004,Centro,332212,4291.0
246,2004,Centro,332310,8107.0
247,2004,Centro,332320,32101.0
248,2004,Centro,332410,723.0
249,2004,Centro,332420,3604.0
250,2004,Centro,332430,4308.0
251,2004,Centro,332510,4172.0
252,2004,Centro,332610,6613.0
253,2004,Centro,332710,7907.0
254,2004,Centro,332720,4263.0
255,2004,Centro,332810,4155.0
256,2004,Centro,332910,5179.0
257,2004,Centro,332991,474.0
258,2004,Centro,332999,4523.0
259,2004,Centro,333111,419.0
260,2004,Centro,333112,75.0
261,2004,Centro,333120,658.0
262,2004,Centro,333130,290.0
263,2004,Centro,333241,241.0
264,2004,Centro,333242,602.0
265,2004,Centro,333243,3207.0
266,2004,Centro,333244,685.0
267,2004,Centro,333245,197.0
268,2004,Centro,333246,237.0
269,2004,Centro,333249,467.0
270,2004,Centro,333311,0.0
271,2004,Centro,333319,1670.0
272,2004,Centro,333411,2635.0
273,2004,Centro,333412,3068.0
274,2004,Centro,333510,2042.0
275,2004,Centro,333610,1035.0
276,2004,Centro,333910,2469.0
277,2004,Centro,333920,2308.0
278,2004,Centro,333991,1661.0
279,2004,Centro,333992,544.0
280,2004,Centro,333993,190.0
281,2004,Centro,333999,1872.0
282,2004,Centro,334110,485.0
283,2004,Centro,334210,704.0
284,2004,Centro,334220,536.0
285,2004,Centro,334290,236.0
286,2004,Centro,334310,111.0
287,2004,Centro,334410,3113.0
288,2004,Centro,334511,252.0
289,2004,Centro,334519,3043.0
290,2004,Centro,334610,2268.0
291,2004,Centro,335110,1465.0
292,2004,Centro,335120,1563.0
293,2004,Centro,335210,5315.0
294,2004,Centro,335220,7622.0
295,2004,Centro,335311,3530.0
296,2004,Centro,335312,4471.0
297,2004,Centro,335910,132.0
298,2004,Centro,335920,2379.0
299,2004,Centro,335930,7865.0
300,2004,Centro,335991,127.0
301,2004,Centro,335999,470.0
302,2004,Centro,336110,4574.0
303,2004,Centro,336120,3426.0
304,2004,Centro,336210,6882.0
305,2004,Centro,336310,7819.0
306,2004,Centro,336320,14553.0
307,2004,Centro,336330,4034.0
308,2004,Centro,336340,6794.0
309,2004,Centro,336350,8742.0
310,2004,Centro,336360,1133.0
311,2004,Centro,336370,5575.0
312,2004,Centro,336390,18519.0
313,2004,Centro,336410,0.0
314,2004,Centro,336510,0.0
315,2004,Centro,336610,0.0
316,2004,Centro,336992,1057.0
317,2004,Centro,336999,0.0
318,2004,Centro,337110,2176.0
319,2004,Centro,337120,37660.0
320,2004,Centro,337210,7105.0
321,2004,Centro,337910,3515.0
322,2004,Centro,337920,364.0
323,2004,Centro,339111,3184.0
324,2004,Centro,339112,6907.0
325,2004,Centro,339113,504.0
326,2004,Centro,339912,1130.0
327,2004,Centro,339913,395.0
328,2004,Centro,339914,546.0
329,2004,Centro,339920,398.0
330,2004,Centro,339930,4925.0
331,2004,Centro,339940,8512.0
332,2004,Centro,339950,2961.0
333,2004,Centro,339991,158.0
334,2004,Centro,339992,1542.0
335,2004,Centro,339993,2570.0
336,2004,Centro,339994,2595.0
337,2004,Centro,339995,495.0
338,2004,Centro,339999,4994.0
339,2004,Centro,431110,21065.0
340,2004,Centro,431121,2327.0
341,2004,Centro,431122,2969.0
342,2004,Centro,431123,840.0
343,2004,Centro,431130,9215.0
344,2004,Centro,431140,2416.0
345,2004,Centro,431150,4674.0
346,2004,Centro,431160,13569.0
347,2004,Centro,431170,3065.0
348,2004,Centro,431180,5296.0
349,2004,Centro,431191,12054.0
350,2004,Centro,431192,7368.0
351,2004,Centro,431193,4191.0
352,2004,Centro,431199,2057.0
353,2004,Centro,431211,31502.0
354,2004,Centro,431212,2302.0
355,2004,Centro,431213,13868.0
356,2004,Centro,431220,611.0
357,2004,Centro,432111,5621.0
358,2004,Centro,432112,635.0
359,2004,Centro,432119,2186.0
360,2004,Centro,432120,5865.0
361,2004,Centro,432130,6203.0
362,2004,Centro,433110,15594.0
363,2004,Centro,433210,4998.0
364,2004,Centro,433220,1821.0
365,2004,Centro,433311,1270.0
366,2004,Centro,433312,2052.0
367,2004,Centro,433313,651.0
368,2004,Centro,433410,7333.0
369,2004,Centro,433420,4659.0
370,2004,Centro,433430,2255.0
371,2004,Centro,433510,5162.0
372,2004,Centro,434111,5199.0
373,2004,Centro,434112,9176.0
374,2004,Centro,434211,31560.0
375,2004,Centro,434219,5181.0
376,2004,Centro,434221,14839.0
377,2004,Centro,434222,13518.0
378,2004,Centro,434223,6803.0
379,2004,Centro,434224,8754.0
380,2004,Centro,434225,10134.0
381,2004,Centro,434226,3135.0
382,2004,Centro,434227,2016.0
383,2004,Centro,434228,958.0
384,2004,Centro,434229,5682.0
385,2004,Centro,434311,3773.0
386,2004,Centro,434312,1806.0
387,2004,Centro,434313,490.0
388,2004,Centro,434314,675.0
389,2004,Centro,434319,916.0
390,2004,Centro,435110,2811.0
391,2004,Centro,435210,2989.0
392,2004,Centro,435220,8360.0
393,2004,Centro,435311,5107.0
394,2004,Centro,435312,1777.0
395,2004,Centro,435313,7278.0
396,2004,Centro,435319,6842.0
397,2004,Centro,435411,11548.0
398,2004,Centro,435412,5991.0
399,2004,Centro,435419,9009.0
400,2004,Centro,436111,3084.0
401,2004,Centro,437111,1307.0
402,2004,Centro,437112,837.0
403,2004,Centro,437210,2156.0
404,2004,Centro,461110,337596.0
405,2004,Centro,461121,45177.0
406,2004,Centro,461122,26694.0
407,2004,Centro,461123,4360.0
408,2004,Centro,461130,65137.0
